"","type","node","name","Network","modulo"
"211","modspe",137,"Chthamalus sp.","Beagle",3
"212","modspe",138,"Asterina fimbriata","Beagle",3
"213","modspe",140,"Cosmasterias lurida","Beagle",3
"214","modspe",142,"Glabraster antarctica","Beagle",2
"215","modspe",143,"Lithodes santolla","Beagle",3
"216","modspe",145,"Schroederichthys bivius","Beagle",1
"217","modcon",2,"Crustacea","Beagle",1
"218","modcon",4,"Gastropoda","Beagle",1
"219","modcon",5,"Isopoda","Beagle",4
"220","modcon",6,"Macroalgae","Beagle",3
"221","modcon",9,"Zooplankton","Beagle",3
"222","modcon",11,"Ulva sp.","Beagle",4
"223","modcon",12,"Fresh detritus","Beagle",3
"224","modcon",13,"Ostracoda","Beagle",2
"225","modcon",14,"Acanthocyclus albatrossis","Beagle",3
"226","modcon",15,"Amphipoda","Beagle",1
"227","modcon",23,"Exosphaeroma gigas","Beagle",2
"228","modcon",26,"Halicarcinus planatus ","Beagle",3
"229","modcon",27,"Laevilitorina caliginosa","Beagle",2
"230","modcon",30,"Nacella magellanica","Beagle",4
"231","modcon",32,"Necromass","Beagle",2
"232","modcon",34,"Pagurus comptus","Beagle",3
"233","modcon",38,"Polychaeta","Beagle",1
"234","modcon",40,"Pseudechinus magellanicus","Beagle",3
"235","modcon",46,"Bryozoa","Beagle",3
"236","modcon",47,"Copepoda","Beagle",1
"237","modcon",48,"Cumacea","Beagle",2
"238","modcon",50,"Phytoplankton","Beagle",3
"239","modcon",52,"Diatomea","Beagle",2
"240","modcon",54,"Harpagifer bispinis","Beagle",2
"241","modcon",56,"Patagonotothen cornucola","Beagle",2
"242","modcon",57,"Nemertea","Beagle",2
"243","modcon",64,"Ophiuroidea","Beagle",1
"244","modcon",66,"Terebellidae","Beagle",2
"245","modcon",78,"Patagonotothen longipes","Beagle",1
"246","modcon",80,"Patagonotothen tessellata","Beagle",4
"247","modcon",86,"Paranotothenia magellanica","Beagle",2
"248","modcon",102,"Tanaidacea","Beagle",2
"249","modcon",105,"Hydrozoa","Beagle",2
"250","modcon",107,"Porifera","Beagle",1
"251","modcon",111,"Polysiphonia sp.","Beagle",2
"252","modcon",116,"Zygochlamys patagonica","Beagle",1
"253","modcon",139,"Austrolycus depressiceps","Beagle",4
"254","modcon",141,"Eleginops maclovinus","Beagle",4
"255","modcon",144,"Odontesthes nigricans","Beagle",1
