Predator	Prey
Euphausiacea	Phytoplankton
Euphausiacea	Zooplankton
Euphausiacea	Zooplankton
Euphausiacea	Zooplankton
Euphausiacea	Phytoplankton
Euphausiacea	Phytoplankton
Euphausiacea	Phytoplankton
Euphausiacea	Euphausiacea
Eurhomalea exalbida	Fresh detritus
Eurypodius latreillii	Aulacomya atra
Eurypodius latreillii	Bivalvia
Eurypodius latreillii	Calliostoma nudum
Eurypodius latreillii	Crustacea
Eurypodius latreillii	Fissurella picta
Eurypodius latreillii	Gastropoda
Eurypodius latreillii	Halicarcinus planatus 
Eurypodius latreillii	Hiatella arctica
Eurypodius latreillii	Hydrozoa
Eurypodius latreillii	Isopoda
Eurypodius latreillii	Macroalgae
Eurypodius latreillii	Margarella violacea
Eurypodius latreillii	Membranipora isabelleana
Eurypodius latreillii	Munida gregaria
Eurypodius latreillii	Munida gregaria
Eurypodius latreillii	Mytilus edulis chilensis
Eurypodius latreillii	Pagurus comptus
Eurypodius latreillii	Polychaeta
Eurypodius latreillii	Polychaeta
Eurypodius latreillii	Pseudechinus magellanicus
Eurypodius latreillii	Zooplankton
Eurypodius latreillii	Copepoda
Exosphaeroma gigas	Aged detritus
Exosphaeroma gigas	Fresh detritus
Exosphaeroma gigas	Necromass
Exosphaeroma gigas	Fresh detritus
Fissurella oriens	Macrocystis pyrifera
Fissurella oriens	Macrocystis pyrifera
Fissurella picta	Cladophora sp.
Fissurella picta	Codium sp.
Fissurella picta	Ectocarpus sp.
Fissurella picta	Ulva sp.
Fissurella picta	Macroalgae
Fissurella picta	Macrocystis pyrifera
Fissurella picta	Macrocystis pyrifera
Fissurella picta	Porifera
Gaimardia trapesina	Fresh detritus
Gaimardia trapesina	Phytoplankton
Gaimardia trapesina	Diatomea
Gaimardia trapesina	Fresh detritus
Galaxias maculatus	Amphipoda
Galaxias maculatus	Galaxias maculatus
Galaxias maculatus	Gastropoda
Galaxias maculatus	Ostracoda
Galaxias maculatus	Zooplankton
Galaxias maculatus	Copepoda
Gammaridea	Aged detritus
Gammaridea	Desmarestia sp.
Gammaridea	Gammaridea
Gammaridea	Oligochaeta
Gammaridea	Ostracoda
Gammaridea	Phytoplankton
Gammaridea	Polysiphonia sp.
Gammaridea	Porphyra sp.
Gammaridea	Ulva sp.
Gammaridea	Diatomea
Gammaridea	Copepoda
Gammaridea	Aged detritus
Gammaridea	Ulva sp.
Gammaridea	Macroalgae
Gammaridea	Phytoplankton
Gammaridea	Aged detritus
Gammaridea	Phytoplankton
Gammaridea	Diatomea
Gastropoda	Porifera
Gastropoda	Polyplacophora
Gastropoda	Fresh detritus
Gastropoda	Tanaidacea
Genypterus blacodes	Amphipoda
Genypterus blacodes	Ascidiacea
Genypterus blacodes	Aulacomya atra
Genypterus blacodes	Bathyraja albomaculata
Genypterus blacodes	Bathyraja brachyurops
Genypterus blacodes	Bathyraja scaphiops
Genypterus blacodes	Bivalvia
Genypterus blacodes	Bivalvia
Genypterus blacodes	Bryozoa
Genypterus blacodes	Campylonotus vagans
Genypterus blacodes	Cephalopoda
Genypterus blacodes	Cephalopoda
Genypterus blacodes	Cephalopoda
Genypterus blacodes	Cottoperca gobio
Genypterus blacodes	Cottoperca gobio
Genypterus blacodes	Crustacea
Genypterus blacodes	Crustacea
Genypterus blacodes	Dissostichus eleginoides
Genypterus blacodes	Euphausiacea
Genypterus blacodes	Euphausiacea
Genypterus blacodes	Genypterus blacodes
Genypterus blacodes	Holothuroidea
Genypterus blacodes	Hydrozoa
Genypterus blacodes	Hyperiidea
Genypterus blacodes	Isopoda
Genypterus blacodes	Macruronus magellanicus
Genypterus blacodes	Merluccius hubbsi
Genypterus blacodes	Merluccius hubbsi
Genypterus blacodes	Merluccius hubbsi
Genypterus blacodes	Munida gregaria
Genypterus blacodes	Munida gregaria
Genypterus blacodes	Munida gregaria
Genypterus blacodes	Ophiuroidea
Genypterus blacodes	Patagonotothen ramsayi
Genypterus blacodes	Patagonotothen ramsayi
Genypterus blacodes	Polychaeta
Genypterus blacodes	Polychaeta
Genypterus blacodes	Porifera
Genypterus blacodes	Salilota australis
Genypterus blacodes	Salilota australis
Genypterus blacodes	Stromateus brasiliensis
Genypterus blacodes	Zygochlamys patagonica
Genypterus blacodes	Copepoda
Glabraster antarctica	Bryozoa
Glabraster antarctica	Fresh detritus
Glabraster antarctica	Necromass
Glabraster antarctica	Ostracoda
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Phytoplankton
Glabraster antarctica	Porifera
Glabraster antarctica	Porifera
Glabraster antarctica	Porifera
Glabraster antarctica	Diatomea
Glabraster antarctica	Necromass
Glabraster antarctica	Diatomea
Glabraster antarctica	Fresh detritus
Glyceridae	Aged detritus
Glyceridae	Aged detritus
Glyceridae	Gammaridea
Glyceridae	Necromass
Glyceridae	Nereididae
Glyceridae	Polynoidae
Glyceridae	Polynoidae
Glyceridae	Aged detritus
Halicarcinus planatus 	Aged detritus
Halicarcinus planatus 	Cladophora sp.
Halicarcinus planatus 	Fresh detritus
Halicarcinus planatus 	Isopoda
Halicarcinus planatus 	Membranipora isabelleana
Halicarcinus planatus 	Necromass
Halicarcinus planatus 	Necromass
Halicarcinus planatus 	Phytoplankton
Halicarcinus planatus 	Polychaeta
Halicarcinus planatus 	Polysiphonia sp.
Halicarcinus planatus 	Zooplankton
Halicarcinus planatus 	Diatomea
