Predator	Prey
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Gondogeneia antarctica
Notothenia coriiceps	Hemiarthrum setulosum
Notothenia coriiceps	Hippomedon kergueleni
Notothenia coriiceps	Hippomedon kergueleni
Notothenia coriiceps	Hydrozoa
Notothenia coriiceps	Hydrozoa
Notothenia coriiceps	Hyperiidea
Notothenia coriiceps	Hyperiidea
Notothenia coriiceps	Hyperiidea
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Iridaea cordata
Notothenia coriiceps	Lambia antarctica 
Notothenia coriiceps	Lambia antarctica 
Notothenia coriiceps	Laternula elliptica
Notothenia coriiceps	Margarella antarctica
Notothenia coriiceps	Margarella antarctica
Notothenia coriiceps	Margarella antarctica
Notothenia coriiceps	Monostroma hariotii
Notothenia coriiceps	Mysida
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Nacella concinna
Notothenia coriiceps	Necromass
Notothenia coriiceps	Nemertea
Notothenia coriiceps	Nereididae
Notothenia coriiceps	Nereididae
Notothenia coriiceps	Nereididae
Notothenia coriiceps	Nereididae
Notothenia coriiceps	Neuroglossum delesseriae
Notothenia coriiceps	Octopoda
Notothenia coriiceps	Octopoda
Notothenia coriiceps	Ophionotus victoriae
Notothenia coriiceps	Oradarea bidentata
Notothenia coriiceps	Oradarea bidentata
Notothenia coriiceps	Oradarea bidentata
Notothenia coriiceps	Oradarea bidentata
Notothenia coriiceps	Orchomenella sp.
Notothenia coriiceps	Ostracoda
Notothenia coriiceps	Ostracoda
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Palmaria decipiens
Notothenia coriiceps	Pantoneura plocamioides 
Notothenia coriiceps	Pantoneura plocamioides 
Notothenia coriiceps	Paradexamine fissicauda
Notothenia coriiceps	Paradexamine fissicauda
Notothenia coriiceps	Paradexamine sp.
Notothenia coriiceps	Paradexamine sp.
Notothenia coriiceps	Paradexamine sp.
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Pariphimedia integricauda
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Phaeurus antarcticus 
Notothenia coriiceps	Picconiella plumosa 
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Plocamium cartilagineum
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
